threads,implementation,input,contains-cycle,time-to-finish,is_DAS
,1_naive,"simple-loop
",True,8,True
2,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,7,True
2,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
2,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,8,True
2,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
2,1_naive,"bintree
",True,8,True
,1_naive,"bintree
",True,8,True
,1_naive,"bintree
",True,8,True
,1_naive,"bintree
",True,8,True
,1_naive,"bintree
",True,10187,True
2,1_naive,"bintree
",True,10187,True
,1_naive,"bintree
",True,10187,True
,1_naive,"bintree
",True,10187,True
,1_naive,"bintree
",True,10187,True
,1_naive,"bintree
",True,10351,True
2,1_naive,"bintree
",True,10351,True
,1_naive,"bintree
",True,10351,True
,1_naive,"bintree
",True,10351,True
,1_naive,"bintree
",True,10351,True
,1_naive,"bintree
",True,10370,True
2,1_naive,"bintree
",True,10370,True
,1_naive,"bintree
",True,10370,True
,1_naive,"bintree
",True,10370,True
,1_naive,"bintree
",True,10370,True
,1_naive,"bintree
",True,11051,True
2,1_naive,"bintree
",True,11051,True
,1_naive,"bintree
",True,11051,True
,1_naive,"bintree
",True,11051,True
,1_naive,"bintree
",True,11051,True
,1_naive,"bintree
",True,10417,True
,1_naive,"bintree
",True,10417,True
,1_naive,"bintree
",True,10417,True
2,1_naive,"bintree-loop
",True,10417,True
,1_naive,"bintree-loop
",True,10417,True
,1_naive,"bintree-loop
",True,10417,True
,1_naive,"bintree-loop
",True,10417,True
,1_naive,"bintree-loop
",True,11912,True
2,1_naive,"bintree-loop
",True,11912,True
,1_naive,"bintree-loop
",True,11912,True
,1_naive,"bintree-loop
",True,11912,True
,1_naive,"bintree-loop
",True,11912,True
,1_naive,"bintree-loop
",True,11138,True
2,1_naive,"bintree-loop
",True,11138,True
,1_naive,"bintree-loop
",True,11138,True
,1_naive,"bintree-loop
",True,11138,True
,1_naive,"bintree-loop
",True,11138,True
,1_naive,"bintree-loop
",True,11517,True
2,1_naive,"bintree-loop
",True,11517,True
,1_naive,"bintree-loop
",True,11517,True
,1_naive,"bintree-loop
",True,11517,True
,1_naive,"bintree-loop
",True,11517,True
,1_naive,"bintree-loop
",True,11256,True
2,1_naive,"bintree-loop
",True,11256,True
,1_naive,"bintree-loop
",True,11256,True
,1_naive,"bintree-loop
",True,11256,True
,1_naive,"bintree-loop
",True,11256,True
,1_naive,"bintree-loop
",True,11037,True
,1_naive,"bintree-loop
",True,11037,True
,1_naive,"bintree-loop
",True,11037,True
2,1_naive,"bintree-cycle
",True,11037,True
,1_naive,"bintree-cycle
",True,11037,True
,1_naive,"bintree-cycle
",True,11037,True
